dataset,battery_name,window_start,mse,mae,rmse,mse_raw,mae_raw,rmse_raw
test_CALCE,CALCE_CX2_36,100,0.008418288805985885,0.08874768739325478,0.0917512332668389,0.008418288805985885,0.08874768739325478,0.0917512332668389
test_CALCE,CALCE_CX2_36,150,0.0026893928851440944,0.04886894251052822,0.05185935677526375,0.0026893928851440944,0.04886894251052822,0.05185935677526375
test_CALCE,CALCE_CX2_36,200,0.00038129671834917516,0.01755791394923885,0.019526820487452,0.00038129671834917516,0.01755791394923885,0.019526820487452
test_CALCE,CALCE_CX2_36,250,0.004057685748734085,0.06232846690435549,0.06369996663055708,0.004057685748734085,0.06232846690435549,0.06369996663055708
test_CALCE,CALCE_CX2_36,300,0.020678119243072127,0.14294908609687024,0.1437988847073305,0.020678119243072127,0.14294908609687024,0.1437988847073305
test_CALCE,CALCE_CX2_36,350,0.0003570548252389213,0.015444826783516745,0.018895894401666235,0.0003570548252389213,0.015444826783516745,0.018895894401666235
test_CALCE,CALCE_CX2_36,400,0.027219310024889934,0.16385551928755845,0.16498275675018265,0.027219310024889934,0.16385551928755845,0.16498275675018265
test_CALCE,CALCE_CX2_36,450,0.034206273306630154,0.18398418577941109,0.1849493803899601,0.034206273306630154,0.18398418577941109,0.1849493803899601
test_CALCE,CALCE_CX2_36,50,0.005533683912331012,0.07152103200566556,0.07438873511716013,0.005533683912331012,0.07152103200566556,0.07438873511716013
test_CALCE,CALCE_CX2_36,500,0.04295578589576085,0.20567699057233693,0.2072577764421901,0.04295578589576085,0.20567699057233693,0.2072577764421901
test_CALCE,CALCE_CX2_36,550,0.04587920043185574,0.21200306164963265,0.21419430532078984,0.04587920043185574,0.21200306164963265,0.21419430532078984
test_CALCE,CALCE_CX2_36,600,0.022035154807200287,0.14710744158593944,0.14844242926872453,0.022035154807200287,0.14710744158593944,0.14844242926872453
test_CALCE,CALCE_CX2_37,0,0.002810529533270551,0.04704338628152867,0.05301442759542492,0.002810529533270551,0.04704338628152867,0.05301442759542492
test_CALCE,CALCE_CX2_37,100,0.0018263184492227826,0.03597172591300864,0.04273544722151369,0.0018263184492227826,0.03597172591300864,0.04273544722151369
test_CALCE,CALCE_CX2_37,150,0.001589527725108842,0.03432583040964545,0.03986888166363388,0.001589527725108842,0.03432583040964545,0.03986888166363388
test_CALCE,CALCE_CX2_37,200,0.012678809431090534,0.11179702752473761,0.11260021949841188,0.012678809431090534,0.11179702752473761,0.11260021949841188
test_CALCE,CALCE_CX2_37,250,0.0031270126734067646,0.05535754511801713,0.05591969843808856,0.0031270126734067646,0.05535754511801713,0.05591969843808856
test_CALCE,CALCE_CX2_37,300,0.0008725668956394542,0.026197480167176438,0.02953924331528237,0.0008725668956394542,0.026197480167176438,0.02953924331528237
test_CALCE,CALCE_CX2_37,350,0.020781775989651433,0.1429978648156684,0.14415885678532359,0.020781775989651433,0.1429978648156684,0.14415885678532359
test_CALCE,CALCE_CX2_37,400,0.025032493195556952,0.1569683069849442,0.15821660214894312,0.025032493195556952,0.1569683069849442,0.15821660214894312
test_CALCE,CALCE_CX2_37,450,0.016062789614411842,0.1254232826720718,0.12673906112328528,0.016062789614411842,0.1254232826720718,0.12673906112328528
test_CALCE,CALCE_CX2_37,50,0.0011182844033247746,0.028541286481447027,0.033440759610463014,0.0011182844033247746,0.028541286481447027,0.033440759610463014
test_CALCE,CALCE_CX2_37,500,0.03305543576323601,0.18037715847156036,0.18181153913664558,0.03305543576323601,0.18037715847156036,0.18181153913664558
test_CALCE,CALCE_CX2_37,550,0.014715623180738248,0.11878354380002701,0.12130796833159085,0.014715623180738248,0.11878354380002701,0.12130796833159085
test_CALCE,CALCE_CX2_37,600,0.02765585469627644,0.16415039738781118,0.1663004951774842,0.02765585469627644,0.16415039738781118,0.1663004951774842
test_CALCE,CALCE_CX2_37,650,0.061660935402438305,0.24748474318639296,0.24831620044298017,0.061660935402438305,0.24748474318639296,0.24831620044298017
test_CALCE,CALCE_CX2_38,0,0.002842944453321953,0.047307348496357246,0.053319269062150065,0.002842944453321953,0.047307348496357246,0.053319269062150065
test_CALCE,CALCE_CX2_38,100,0.005641613128684826,0.07374181553242093,0.07511067253516523,0.005641613128684826,0.07374181553242093,0.07511067253516523
test_CALCE,CALCE_CX2_38,150,0.0004321741415282467,0.01696054630166906,0.020788798462832013,0.0004321741415282467,0.01696054630166906,0.020788798462832013
test_CALCE,CALCE_CX2_38,200,0.00020307217127815116,0.012152802806790581,0.014250339339052637,0.00020307217127815116,0.012152802806790581,0.014250339339052637
